"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 11 19:38:29 UTC 2026","Wed Mar 11 19:38:30 UTC 2026","1199","dream_platform.ui.tests","test_forgot_password","","","","test_forgot_password_page_elements",""
"passed","Wed Mar 11 19:39:28 UTC 2026","Wed Mar 11 19:39:28 UTC 2026","149","dream_platform.ui.tests","test_user_page","","","","test_user_profile_page_visible","Check that user profile page elements are visible after login."
"passed","Wed Mar 11 19:39:41 UTC 2026","Wed Mar 11 19:39:41 UTC 2026","95","dream_platform.ui.tests","test_user_timesheet","","","","test_timesheet_page_ui_elements","Check that Timesheet page elements are visible after login."
"passed","Wed Mar 11 19:38:26 UTC 2026","Wed Mar 11 19:38:26 UTC 2026","275","dream_platform.ui.tests","test_login","","","","test_login_page_elements_before_login","Check that all login page elements are visible before login."
"passed","Wed Mar 11 19:39:28 UTC 2026","Wed Mar 11 19:39:29 UTC 2026","224","dream_platform.ui.tests","test_user_page","","","","test_change_password_modal_elements","Check that change password modal elements are visible."
"passed","Wed Mar 11 19:38:28 UTC 2026","Wed Mar 11 19:38:28 UTC 2026","198","dream_platform.ui.tests","test_login","","","","test_invalid_login_wrong_password","Login should fail with wrong password."
"passed","Wed Mar 11 19:38:26 UTC 2026","Wed Mar 11 19:38:28 UTC 2026","1176","dream_platform.ui.tests","test_login","","","","test_logout","Test logout functionality and returning to login page."
"passed","Wed Mar 11 19:39:29 UTC 2026","Wed Mar 11 19:39:41 UTC 2026","12251","dream_platform.ui.tests","test_user_page","","","","test_password_change_and_login","Test password change workflow and login validation with old/new passwords."
"passed","Wed Mar 11 19:38:28 UTC 2026","Wed Mar 11 19:38:28 UTC 2026","214","dream_platform.ui.tests","test_login","","","","test_invalid_login_wrong_username","Login should fail with wrong username."
"passed","Wed Mar 11 19:38:30 UTC 2026","Wed Mar 11 19:38:31 UTC 2026","1048","dream_platform.ui.tests","test_forgot_password","","","","test_forgot_password_send_email_ui",""
"passed","Wed Mar 11 19:38:28 UTC 2026","Wed Mar 11 19:38:29 UTC 2026","271","dream_platform.ui.tests","test_login","","","","test_cancel_logout","Test canceling logout keeps user on current page."
"passed","Wed Mar 11 19:38:28 UTC 2026","Wed Mar 11 19:38:28 UTC 2026","203","dream_platform.ui.tests","test_login","","","","test_user_valid_login","User can log in successfully and see expected elements."
"passed","Wed Mar 11 19:38:26 UTC 2026","Wed Mar 11 19:38:26 UTC 2026","249","dream_platform.ui.tests","test_login","","","","test_admin_valid_login","Admin can log in successfully and see expected elements."
"failed","Wed Mar 11 19:38:31 UTC 2026","Wed Mar 11 19:39:28 UTC 2026","57083","dream_platform.ui.tests","test_forgot_password","","","","test_forgot_password_full_flow","One full orchestrated test: send email → fetch → reset → verify → restore"
"passed","Wed Mar 11 19:38:28 UTC 2026","Wed Mar 11 19:38:28 UTC 2026","198","dream_platform.ui.tests","test_login","","","","test_invalid_login_wrong_username_and_password","Login should fail with wrong username and password."
"passed","Wed Mar 11 19:39:41 UTC 2026","Wed Mar 11 19:39:41 UTC 2026","207","dream_platform.ui.tests","test_user_timesheet","","","","test_timesheet_add_and_submit_workflow","Test adding a timesheet entry and submitting the timesheet."
